id,source_unique_id,crawl_timestamp,product_url,product_name,description,list_price,sale_price,brand,item_number,gtin,package_size,category,postal_code,available
1,00068601cf9047122e9a9f8b300a763b,2019-03-22 17:56:41 +0000,https://www.walmart.com/ip/Ebe-Men-Black-Rectangle-Half-Rim-Spring-Hinge-Eyewear-Reading-Glasses-2036/199534909,Ebe Men Black Rectangle Half Rim Spring Hinge Eyewear Reading Glasses 2036,"Count on EBE for all of your eye correction needs this light weight sleek looking pair of glasses are something to be won. We guarantee you will love the style of these frames with the sharply colored temples on the side of your face give a great fashion look and a great comfort your face we guarantee your satisfaction.| Always custom made to your individual order specifications in our FDA Listed Lab with the remarkable Optical grade Custom frames and Lenses available. Better style better grade and always less than retail. Rx lens included! Glasses come with a Hard protective case and micro fiber cleaning cloth. Very light and strong frame with Ebe signature comfort fit bridge for easy all day use without hot spots. We design and produce all of our frames and lenses in our FDA listed Labs. Lenses Include Anti-Glare and Anti-Reflective Coating. You will Love your New Glasses and we Guarantee it 100%. We do not sell Cheap &quot;drug store&quot; reading glasses. Lens Width=55, Lens Height=29, Bridge Width=18, Temple Length=140, Frame Width=138 ",30.99,30.99,Eye Buy Express,,7.08E+11,size-6.25,Health|Home Health Care|Daily Living Aids,,TRUE
2,000affc51c41d9420f544c0fc12e1a17,2019-03-18 06:13:18 +0000,https://www.walmart.com/ip/Fruit-of-the-Loom-T-Shirts-HD-Cotton-Tank-Top/536273209,Fruit of the Loom T-Shirts HD Cotton Tank Top," 5.0 oz., 100% pre-shrunk cotton Athletic Heather is 90/10 cotton/polyester Black Heather, Neon Colors and Safety Green are 50/50 cotton/polyester High-density fabric for exceptional print clarity Double-needle neck, armholes, and bottom hem Quarter-turned Tearaway label | 5.0 oz., 100% pre-shrunk cotton Athletic Heather is 90/10 cotton/polyester Black Heather, Neon Colors and Safety Green are 50/50 cotton/polyester ",5.94,5.94,Fruit of the Loom,,8.85E+11,clothing_size-m,Clothing|Men|Mens T-Shirts & Tank Tops|Mens Tank Tops,,TRUE
3,000c1b55a4353e88ec00abfc22ae2fc2,2019-03-11 20:44:03 +0000,https://www.walmart.com/ip/MightySkins-Skin-Decal-Wrap-Compatible-with-Nintendo-Sticker-Protective-Cover-100-s-of-Color-Options/244977007,MightySkins Skin Decal Wrap Compatible with Nintendo Sticker Protective Cover 100's of Color Options,"Each Nintendo 2DS kit is printed with super-high resolution graphics with a ultra finish. All skins are protected with MightyShield. This laminate protects from scratching, fading, peeling and most importantly leaves no sticky mess guaranteed. Our patented advanced air-release vinyl guarantees a perfect installation everytime. When you are ready to change your skin removal is a snap, no sticky mess or gooey residue for over 4 years. This package is a 2 piece vinyl skin kit. You can't go wrong with a MightySkin.|This is NOT A HARD CASE (Skin Decal Only). It is a vinyl skin/decal sticker and is NOT made of rubber, silicone, gel or plastic. Device shown not included.",9.99,9.99,Mightyskins,,82481827802,size-nintendojoy-concontroller,"Video Games|Video Game Accessories|Accessories for Nintendo, PC, Xbox and PlayStation Systems",,TRUE
4,000c537725ba3fa38a0be29c3674253e,2019-03-22 18:32:09 +0000,https://www.walmart.com/ip/Ebe-Men-Silver-Rectangle-Half-Rim-Spring-Hinge-Reading-Glasses-a963/153616243,Ebe Men Silver Rectangle Half Rim Spring Hinge Reading Glasses a963,"Count on EBE for all of your eye correction needs this light weight sleek looking pair of glasses are something to be won. We guarantee you will love the style of these frames with the sharply colored temples on the side of your face give a great fashion look and a great comfort your face we guarantee your satisfaction.| Always custom made to your individual order specifications in our FDA Listed Lab with the remarkable Optical grade Custom frames and Lenses available. Better style better grade and always less than retail. Rx lens included! Glasses come with a Hard protective case and micro fiber cleaning cloth. Very light and strong frame with Ebe signature comfort fit bridge for easy all day use without hot spots. We design and produce all of our frames and lenses in our FDA listed Labs. Lenses Include Anti-Glare and Anti-Reflective Coating. You will Love your New Glasses and we Guarantee it 100%. We do not sell Cheap &quot;drug store&quot; reading glasses. Lens Width=52, Lens Height=27, Bridge Width=16, Temple Length=138, Frame Width=130 ",18.99,18.99,Eye Buy Express,,6.03E+11,size-3.75,Health|Home Health Care|Daily Living Aids,,TRUE
5,000fcdf9af55ba845482acea881d9497,2019-03-11 20:19:14 +0000,https://www.walmart.com/ip/MightySkins-Skin-Decal-Wrap-Compatible-with-Nest-Sticker-Protective-Cover-100-s-of-Color-Options/330239701,MightySkins Skin Decal Wrap Compatible with Nest Sticker Protective Cover 100's of Color Options,"Do You Want Your Nest Cam Indoor Security Camera To Look Different Than The Rest? Youre in the right place because weve got exactly what youre looking for! This Antique Purple skin is the perfect way to show off your style! Or with hundreds of other MightySkins designs, you can be sure to find one that youll love, and that will show off your unique style! Do You Want To Protect Your Nest Cam? With MightySkins your Nest Cam is protected from scratches, dings, dust, fingertips, and the wear-and-tear of everyday use! Cover your Nest Cam with a beautiful, stylish decal skin and keep it protected at the same time! Easy to apply, and easy to remove without any sticky residue! Make your favorite gear look like new, and stand out from the crowd! Order With Confidence - Satisfaction Guaranteed! MightySkins are durable, reliable, made in our state-of-the-art production facility in the U.S.A., and backed by our satisfaction guarantee! Product Details: Vinyl decal sticker NOT A HARD CASE Matte Finish Ultra-Thin, Ultra-Durable, Stain Resistant Hundreds of different designs Nest Cam Indoor Security Camera is not included.|This is NOT A HARD CASE (Skin Decal Only). It is a vinyl skin/decal sticker and is NOT made of rubber, silicone, gel or plastic. Device shown not included.",7.99,7.99,Mightyskins,,26312826848,size-nesthellovideodoorbell,Electronics|Electronics Learning Center|Ads Free Page #21,,TRUE
6,0011b04a9d456c1d8560be75dab7dfef,2019-03-11 20:12:03 +0000,https://www.walmart.com/ip/MightySkins-Skin-Decal-Wrap-Compatible-with-HP-Sticker-Protective-Cover-100-s-of-Color-Options/867663214,MightySkins Skin Decal Wrap Compatible with HP Sticker Protective Cover 100's of Color Options,"Do You Want Your HP 2000 Laptop (2013) 15.6&quot; To Look Different Than The Rest? Youre in the right place because weve got exactly what youre looking for! This Action Fish Puzzle skin is the perfect way to show off your gear! Or with hundreds of other MightySkins designs, you can be sure to find one that youll love, and that will show off your unique style! Do You Want To Protect Your HP 2000 Laptop (2013) 15.6&quot;? With MightySkins your gear is protected from scratches, dings, dust, fingertips, and the wear-and-tear of everyday use! Cover your HP 2000 Laptop (2013) 15.6&quot; with a beautiful, stylish decal skin and keep it protected at the same time! Easy to apply, and easy to remove without any sticky residue! Make your favorite gear look like new, and stand out from the crowd! Order With Confidence - Satisfaction Guaranteed! MightySkins are durable, reliable, made in our state-of-the-art production facility in the U.S.A., and backed by our satisfaction guarantee! Product Details: NOT A HARD CASE Vinyl decal sticker Matte Finish Ultra-Thin, Ultra-Durable, Stain Resistant Hundreds of different designs HP 2000 Laptop (2013) 15.6&quot; is not included.|This is NOT A HARD CASE (Skin Decal Only). It is a vinyl skin/decal sticker and is NOT made of rubber, silicone, gel or plastic. Device shown not included.",23.99,19.99,Mightyskins,,45399699497,"size-hp2000laptop(2013)15.6""",Electronics|Electronics Learning Center|Ads Free Page #21,,FALSE
7,00176ff66fb2a52516143da47076f983,2019-03-18 06:12:02 +0000,https://www.walmart.com/ip/Gorilla-With-Expensive-Camera-Tee-Men-s-Image-by-Shutterstock/504009628,Gorilla With Expensive Camera Tee Men's -Image by Shutterstock,"Gorilla With Expensive Camera. Men's Athletic Heather T-Shirt| Brand: Teeblox monkey with camera Red T-shirt 100% COTTON Perfect for this spring season a huge zoo,africa,animals,apes,big Country of Origin: &nbsp;Made in Mexico",35.44,11.96,Teeblox,,7.50E+11,clothing_size-xxl,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts & Tank Tops,,TRUE
8,0019761fb95155f92736a80c8c95df4d,2019-03-18 06:07:44 +0000,https://www.walmart.com/ip/Ultra-Sleek-And-Spacious-Pearl-White-Lacquer-18-Note-Music-Jewelry-Box-We-ve-Only-Just-Begun-NEW/567905000,Ultra Sleek And Spacious Pearl White Lacquer 18 Note Music Jewelry Box - We've Only Just Begun - NEW,"Clean modern design Multi-functional compartments + lift up tray + 1 spacious drawe Hi gloss pearl white lacquer finish with black lacquer tri Functional lock with key &amp; pouc Cr&egrave;me velvet interior with Large Mirro Silver hardware throughou 18 Note Movement (please see item options for available tunes Higher notes available, click on tab below (Higher Note Options|Ultra Sleek And Spacious Pearl White Lacquer 18 Note Music Jewelry Box - We've Only Just Begun - NEW",240.99,240.99,MusicBoxAttic,,6.90E+11,size-150.havanagila(aliciajonas),Jewelry|Jewelry Boxes & Organizers|Jewelry Boxes & Organizers,,TRUE
9,001c2c6bc1374ad2e69fe4d269070340,2019-03-18 06:14:36 +0000,https://www.walmart.com/ip/Maevn-PURE-Women-s-3-Panel-V-Nect-Top-Modern-Yoga-Pants-Scrub-Set-XXS-3XL-FREE-SHIPPING/238467791,"Maevn PURE Women's 3 Panel V-Nect Top & Modern Yoga Pants Scrub Set [XXS - 3XL, FREE SHIPPING]"," Top: • Curved V-neck top • Two slant pockets with cell pocket • Princess seams at front • Curved back yoke with double needle stitching • Back darts for added style and shape • Side vents • LENGTH: 27.75&quot; Pant: • Tapered pants with yoga style waistband • Dyed-to-match drawstring • Two front slant pockets with one cell pocket • One cargo pocket • Two back patch pockets • Adjustable zipper at hemline • INSEAM: Reg: 30.5&quot; Petite: 28&quot; Tall: 33&quot; A soft-to-the-touch fabric and a modern fit make our Pure Soft collection the pinnacle of luxury scrubs. All Petite, Tall, and Short sizing refers to pant sizes only. Includes one FREE GIFT (A PAIR OF SOCKS) which is subject to change based on availability. | The finest in luxury scrubs Medical Scrub Nursing Scrubs ",51.99,51.99,Maevn,,7.96E+11,clothing_size-meidumtall,"Clothing|Women|Womens Activewear|Womens Activewear Leggings, Pants & Capris",,TRUE
10,001c3db6a50143447001986f636e82b4,2019-03-22 18:03:11 +0000,https://www.walmart.com/ip/AARCO-Enclosed-Wall-Mounted-Bulletin-Board/16552677,AARCO Enclosed Wall Mounted Bulletin Board,Features: -Bulletin board. -Lockable doors. -Acrylic safety glass windows. -Continuous hinges. -Concealed mounting brackets. -Made in USA. Product Type: -Bulletin board. Mount Type: -Wall Mounted. Board Color: -Brown. Surface Material: -Cork. Framed: -Framed. Frame Material: -Plastic. Size 24&quot; H x 18&quot; W - Size: -Small 2' - 4'. Size 36&quot; H x 60&quot; W - Size: -Medium 4' - 6'. Size 48&quot; H x 96&quot; W - Size: -Large 6' to 8'. Dimensions: Overall Thickness: -2&quot;. Size 24&quot; H x 18&quot; W - Overall Height - Top to Bottom: -24&quot;. Size 24&quot; H x 18&quot; W - Overall Length - Side to Side: -24&quot;. Size 36&quot; H x 24&quot; W - Overall Length - Side to Side: -36&quot;. Size 36&quot; H x 24&quot; W - Overall Product Weight: -18 lbs. Size 36&quot; H x 30&quot; W - Overall Product Weight: -24 lbs. Size 36&quot; H x 36&quot; W - Overall Height - Top to Bottom: -36&quot;. Size 36&quot; H x 36&quot; W - Overall Product Weight: -40 lbs. Size 36&quot; H x 48&quot; W - Overall Length - Side to Side: -48&quot;. Size 36&quot; H x 48&quot; W - Overall Product Weight: -42 lbs. Size 36&quot; H x 6|AAO1191 Features Bulletin board Lockable doors Acrylic safety glass windows Continuous hinges Concealed mounting brackets Made in USA Product Type: Bulletin board Mount Type: Wall Mounted Board Color: Brown Surface Material: Cork Framed: Framed Frame Material: Plastic Size (24&quot; H x 18&quot; W): Small 2' - 4' Size (36&quot; H x 60&quot; W): Medium 4' - 6' Size (48&quot; H x 96&quot; W): Large 6' to 8' Dimensions Overall Thickness: 2&quot; Size 24&quot; H x 18&quot; W Overall Height - Top to Bottom: 24&quot; Overall Length - Side to Side: 24&quot; Size 36&quot; H x 24&quot; W Overall Length - Side to Side: 36&quot; Overall Product Weight: 18 lbs Size 36&quot; H x 30&quot; W Overall Product Weight: 24 lbs Size 36&quot; H x 36&quot; W Overall Height - Top to Bottom: 36&quot; Overall Product Weight: 40 lbs Size 36&quot; H x 48&quot; W Overall Length - Side to Side: 48&quot; Overall Product Weight: 42 lbs Size 36&quot; H x 60&quot; W Overall Length - Side to Side: 60&quot; ,355.58,355.58,AARCO,,98839017870,"size-36""x36""",Office|Boards & Easels|Bulletin Boards,,TRUE
